title,partner,primary_description,secondary_description,tertiary_description,availability,subject,level,language,product,program_type,staff,translation_language,transcription_language,recent_enrollment_count,marketing_url,weeks_to_complete,skill,text
إدارة الأعمال الريادية,qatar university,يقدم هذا المقرر مقدمة عامة عن ريادة الأعمال وما يميز الأفكار الابتكارية والصفات الرئيسية لرواد الأعمال والطرق الشائعة لتطوير التفكير الإبداعي من أجل توليد أفكار جديدة بعد اختيار أفضل الأفكار الجديدة سيتم بناء النموذج الأولي للمنتج بحيث يكون مناسبا للاختبار من قبل العملاء ومعرفة أرائهم لتحسينه قبل بناء المنتج النهائي للسوق كما يعرض المقرر الجانب القانوني لتأسيس الشركة بشكل مناسب والإجراءات المتبعة لبناء فريق العمل,ما الذي ستتعلمه تعريف مفهوم ريادة الأعمال ومواصفات رواد الأعمال وطريقة تفكير رواد الأعمال تمييز الطرق التي تزيد المهارات الإبداعية والقدرة على الابتكار والتجديد تمييز أنماط الاستهلاك العامة وكيفية استخدامها كقاعدة لتوليد الأفكار الابتكارية المناسبة بناء النموذج الأولي وكيفية اختباره مع العملاء تحليل السوق من خلال دراسة المنافسين الأساسيين اختيار الشريحة المناسبة للمنتج بهدف رسم استراتيجية التسويق الملائمة اكتشاف الخيار القانوني الأفضل لتسجيل الشركة رسميا والتعرف على كيفية توسيعها مع الوقت,نبذة عن هذا المقرر ستتعرف خلال هذا المقرر على الصفات الرئيسية لرواد الأعمال التي تجعلهم قادرين على القيام بأنواع مختلفة من ريادة الأعمال والطرق الشائعة لتطوير التفكير الإبداعي من أجل توليد أفكار جديدة تناسب التوجهات المعاصرة للمستهلك بعد اختيار الأفكار الجديدة سنقوم بتقييم قابليتها للتنفيذ على أرض الواقع ثم نبني النماذج الأولية للمنتج بحيث يكون مناسبا للاختبار من قبل العملاء ومعرفة أرائهم لتحسينه في المرحلة النهائية سيتم بناء المنتج النهائي للسوق ستكتشف أيضا كيفية تحليل السوق لطرح المنتج الجديد بنجاح وذلك من خلال تحديد المنافسين الأساسيين وتحديد شريحة العملاء المستهدفة من أجل صياغة أفضل استراتيجية لدخول السوق كما سنتطرق الى الجانب القانوني لتأسيس الشركة بشكل مناسب والإجراءات المتبعة لبناء فريق عمل مؤهل وقادر على توسيع الشركة في المستقبل,available now,business & management,introductory,arabic,Course,professional certificate,ldktwr-sm-lkwyfy,,,693,https://www.edx.org/learn/business-management/qatar-university-ltswyq-lrydy,5.0,,nan
data science tool,ibm,learn popular data science tool including use feature,list various tool used data scientist machine learning engineer describe various programming language used data scientist python r julia sql explain various component data scientist toolkit including library package data set machine learning model explain feature jupyter notebook use work popular tool employed data scientist including rstudio ide github create share jupyter notebook navigate ibm watson studio describe feature capability,please note learner successfully complete ibm course earn skill badge detailed verifiable digital credential profile knowledge skill youve acquired course enroll learn complete course claim badge course youll learn data science tool like jupyter notebook rstudio ide watson studio learn tool used programming language execute feature limitation data scientist use tool today tool hosted cloud able test tool follow instruction run simple code python r complete course create final project jupyter notebook ibm watson studio cloud demonstrate proficiency preparing notebook writing markdown sharing work peer handson course get running latest greatest data science tool,available now,"data analysis & statistics, computer science, business & management",introductory,english,Course,"professional certificate, professional certificate, professional certificate","svetlana-levitan, romeo-kienzler, maureen-mcelaney","arabic, english, spanish (latin america), indonesian, portuguese (brazil), russian","portuguese - brazil, russian, arabic, spanish, indonesian",692,https://www.edx.org/learn/data-science/ibm-data-science-tools,7.0,jupyter notebook data science rstudio python programming language jupyter markdown watson studio,data science tool please note learner successfully complete ibm course earn skill badge detailed verifiable digital credential profile knowledge skill youve acquired course enroll learn complete course claim badge course youll learn data science tool like jupyter notebook rstudio ide watson studio learn tool used programming language execute feature limitation data scientist use tool today tool hosted cloud able test tool follow instruction run simple code python r complete course create final project jupyter notebook ibm watson studio cloud demonstrate proficiency preparing notebook writing markdown sharing work peer handson course get running latest greatest data science tool data analysis & statisticscomputer sciencebusiness & management jupyter notebook data science rstudio python programming language jupyter markdown watson studio
vitara compliance risk management,the international monetary fund,selfpaced course provides fundamental knowledge modern compliance risk management crm good practice strategic goal crm steadily increase level voluntary compliance time identifying prioritizing risk implementing treatment address risk module learn adopting systematic approach crm support tax administration deliver core function achieve overall goal successfully,upon completion course participant able define concept compliance risk management benefit tax administration delineate strategic role crm outline compliance risk management framework input output describe compliance risk management process determine necessary organizational governance arrangement explain role senior leader tax administration compliance risk management identify specific issue lowincome country need address begin crm journey identify critical success factor crm,selfpaced course provides fundamental knowledge modern compliance risk management crm good practice strategic goal crm steadily increase level voluntary compliance time identifying prioritizing risk implementing treatment address risk module learn adopting systematic approach crm support tax administration deliver core function achieve overall goal successfully course joint initiative four international organization interamerican center tax administration ciat intraeuropean organisation tax administration iota international monetary fund imf organisation economic cooperation development oecd,available now,economics & finance,introductory,english,Course,,"jonathan-leigh-pemberton-2, annette-chooi-3",,,684,https://www.edx.org/learn/economics/the-international-monetary-fund-vitara-compliance-risk-management,1.0,,nan
introduction social psychology,the university of queensland,learn people think behave way social setting,influence sometimes hurt people think others communicate nonverbally people behave prosocially prejudice stereotype come,often firmly held belief people think behave way sometimes intuition correct often social psychology help u understand people think people motivates behaviour social setting course explores range topic social psychology think think others interact communicate others also discus way influence others influenced others finally look problematic aspect human behaviour prejudice aggression take course curious behave way,available now,"humanities, biology & life sciences, social sciences",introductory,english,Course,xseries,"blake-mckimmie, roy-baumeister",,,681,https://www.edx.org/learn/social-psychology/the-university-of-queensland-introduction-to-social-psychology,7.0,social psychology influencing skill curiosity psychology,introduction social psychology often firmly held belief people think behave way sometimes intuition correct often social psychology help u understand people think people motivates behaviour social setting course explores range topic social psychology think think others interact communicate others also discus way influence others influenced others finally look problematic aspect human behaviour prejudice aggression take course curious behave way humanitiesbiology & life sciencessocial sciences social psychology influencing skill curiosity psychology
teach teen computing programming python,raspberry pi foundation,guided raspberry pi foundation youll learn code basic python program investigate share youve learnt learner aged 11 16yearsold,next 4 week explore basic programming concept sequencing repetition identify use case loop statement function apply knowledge basic python syntax interpret error message produce textbased adventure game,help raspberry pi foundation course guide basic programming concept teach write python program respond user input perform calculation solve problem 4 week course youll work creating textbased adventure game become confident programming youll progress making choice youll meet design brief along way youll also experience specific pedagogical approach use help learner build code comprehension skill predictruninvestigatemodifymake primm approach youll also learn tackle everything overall programming task work specific line code,available now,"education & teacher training, computer science",introductory,english,Course,,matt-hogan,"arabic, english, spanish (latin america), indonesian, portuguese (brazil)","portuguese - brazil, spanish, arabic, indonesian",680,https://www.edx.org/learn/computer-programming/raspberry-pi-foundation-teach-teens-computing-programming-in-python,4.0,pedagogy python programming language programming concept,teach teen computing programming python help raspberry pi foundation course guide basic programming concept teach write python program respond user input perform calculation solve problem 4 week course youll work creating textbased adventure game become confident programming youll progress making choice youll meet design brief along way youll also experience specific pedagogical approach use help learner build code comprehension skill predictruninvestigatemodifymake primm approach youll also learn tackle everything overall programming task work specific line code education & teacher trainingcomputer science pedagogy python programming language programming concept
risk management project,university of adelaide,learn manage risk organization using best process procedure,risk management process work part compliance framework use framework identify assess analyse risk business context application appropriate risk response design integration strategy reporting communicating risk various stakeholder use monitor review process application risk management iterative process,risk management process used identification assessment analysis potential risk organization project process enables develop appropriate risk response risk management project course learn fundamental risk management well apply risk management process projectbased setting risk management iterative process learn adopting key procedure help maximize opportunity minimize negative impact project objective course upskill application risk management canvas framework enables manage risk within environment immerse concept risk management help apply key process practical activity course allow apply knowledge learn week focus key stage risk management process theory practice taught course easily applied project organization business environment risk management project brought team developed highly successful introduction project management mooc build risk management project introduced course participating course ensure gain knowhow reduce project organizational risk future,available now,business & management,introductory,english,Course,professional certificate,"stella-bachtis, anton-jordaan, frank-schultmann, john-sing, noel-lindsay","arabic, english, spanish (latin america), indonesian, portuguese (brazil), russian","russian, indonesian, portuguese - brazil, spanish, arabic",679,https://www.edx.org/learn/risk-management/university-of-adelaide-risk-management-for-projects,5.0,upskilling risk management management project management,risk management project risk management process used identification assessment analysis potential risk organization project process enables develop appropriate risk response risk management project course learn fundamental risk management well apply risk management process projectbased setting risk management iterative process learn adopting key procedure help maximize opportunity minimize negative impact project objective course upskill application risk management canvas framework enables manage risk within environment immerse concept risk management help apply key process practical activity course allow apply knowledge learn week focus key stage risk management process theory practice taught course easily applied project organization business environment risk management project brought team developed highly successful introduction project management mooc build risk management project introduced course participating course ensure gain knowhow reduce project organizational risk future business & management upskilling risk management management project management
alevel mathematics year 12 course 1 complex number matrix root polynomial equation vector,imperial college london,develop thinking skill fluency confidence alevel math prepare undergraduate stem degree,extend number system include definition complex number add subtract multiply divide complex number represent complex number argand diagram modulus argument complex number write complex number modulusargument form define locus complex plane define matrix order add subtract conformable matrix multiply two conformable matrix use matrix define linear transformation find invariant line line invariant point find determinant inverse 2 x 2 3 x 3 matrix use matrix solve system linear equation use standard series formula find sum series separate algebraic fraction partial fraction use method difference find sum series find scalar dot product two vector define equation line using vector define plane using vector use vector solve problem involving line plane,course imperial college london designed help develop skill need succeed alevel math exam investigate key topic area gain deeper understanding skill technique apply throughout alevel study skill include fluency selecting applying correct method answer speed efficiency confidence critically assessing mathematical method investigating way apply problemsolving analysing unfamiliar identifying skill technique require answer question constructing mathematical argument using mathematical tool diagram graph logical deduction mathematical symbol mathematical language construct mathematical argument present precisely others deep reasoning analysing critiquing mathematical technique argument formula proof comprehend applied eight module introduced complex number modulus argument represented diagrammatically matrix order determinant inverse application linear transformation root polynomial equation relationship coefficient series partial fraction method difference vector scalar produce used define straight line plane 2 3 dimension initial skillset extended give clear understanding background knowledge underpins alevel mathematics course youll also encouraged consider know fit wider mathematical world,available now,math,intermediate,english,Course,,"phil-chaffe, philip-ramsden","arabic, english, spanish (latin america), indonesian, portuguese (brazil)","spanish, arabic, portuguese - brazil, indonesian",678,https://www.edx.org/learn/math/imperial-college-london-a-level-further-mathematics-for-year-12-course-1-complex-numbers-matrices-roots-of-polynomial-equations-and-vectors,7.0,language construct basic math,alevel mathematics year 12 course 1 complex number matrix root polynomial equation vector course imperial college london designed help develop skill need succeed alevel math exam investigate key topic area gain deeper understanding skill technique apply throughout alevel study skill include fluency selecting applying correct method answer speed efficiency confidence critically assessing mathematical method investigating way apply problemsolving analysing unfamiliar identifying skill technique require answer question constructing mathematical argument using mathematical tool diagram graph logical deduction mathematical symbol mathematical language construct mathematical argument present precisely others deep reasoning analysing critiquing mathematical technique argument formula proof comprehend applied eight module introduced complex number modulus argument represented diagrammatically matrix order determinant inverse application linear transformation root polynomial equation relationship coefficient series partial fraction method difference vector scalar produce used define straight line plane 2 3 dimension initial skillset extended give clear understanding background knowledge underpins alevel mathematics course youll also encouraged consider know fit wider mathematical world math language construct basic math
support case study,ibm,capstone course provides series case study demonstrating skill perform technical support role also includes practice exam help prepare comptia fundamental itf certification exam,articulate process information related fundamental context providing technical support demonstrate systematic effective troubleshooting problemsolving skill apply customer service skill customer support mindset including conflict mitigation deescalation skill practice comptia fundamental certification completing final exam,capstone demonstrate ability perform information technology support role applying new knowledge realworld situation practice analyzing user help request troubleshooting various issue tech support role would encounter youll demonstrate knowledge hardware software networking security cloud computing area tech support role interacts regularly youll also showcase knowledge understanding escalation level support ticketing system support tool system well communication customer service skill delivering technical support course also includes final exam contains question topic style found comptia fundamental ift certification exam serf program final exam help practice certification measure preparedness end capstone course youll equipped technical support skill found everyday professional setting taking course highly recommended first complete previous course ibm support professional certificate,available now,computer science,intermediate,english,Course,professional certificate,rav-ahuja,"arabic, english, spanish (latin america), indonesian, portuguese (brazil), russian","arabic, russian",676,https://www.edx.org/learn/it-support/ibm-it-support-case-studies,5.0,cloud computing communication comptia fundamental technical support information technology troubleshooting problem solving customer service,support case study capstone demonstrate ability perform information technology support role applying new knowledge realworld situation practice analyzing user help request troubleshooting various issue tech support role would encounter youll demonstrate knowledge hardware software networking security cloud computing area tech support role interacts regularly youll also showcase knowledge understanding escalation level support ticketing system support tool system well communication customer service skill delivering technical support course also includes final exam contains question topic style found comptia fundamental ift certification exam serf program final exam help practice certification measure preparedness end capstone course youll equipped technical support skill found everyday professional setting taking course highly recommended first complete previous course ibm support professional certificate computer science cloud computing communication comptia fundamental technical support information technology troubleshooting problem solving customer service
database semistructured data,stanford university,course one five selfpaced course topic database originating one stanford three inaugural massive open online course released fall 2011 original database course available edxorg part database series standalone course learner seeking develop understanding topic course need take database course course cover json xml standard semistructured data along query language schema declaration feature xml xml data section course introduces xml model semistructured selfdescribing data including dtds feature xml schema json data section course introduces json model humanreadable structured semistructured data xpath xquery section course cover xpath language processing xml data along many feature advanced xquery language xslt section course provides general introduction xslt rulebased language querying transforming xml data,stanford online offering database available set five selfpaced course database relational database sql introduction relational model concept relational database relational database management system comprehensive coverage sql longaccepted standard query language relational database management system database advanced topic sql prerequisite relational database sql creating index increased query performance using transaction concurrency control failure recovery database constraint key referential integrity check constraint database trigger view created used updated relational database authorization relational database database olap recursion star schema data cube concept online analytical processing olap feature relational database including cube rollup operator sql standard query recursivelydefined relation database modeling theory relational algebra algebraic query language provides formal foundation sql dependency theory normal form relational database basis schema design datamodeling component unified modeling language uml uml diagram translated relation database semistructured data xml model semistructured selfdescribing data including dtds feature xml schema json model humanreadable structured semistructured data xpath language processing xml data many feature advanced xquery language introduction xslt rulebased language querying transforming xml data,database series course database one stanford three inaugural massive open online course fall 2011 offered synchronous selfpaced version variety platform continuously since 2011 material offered set five selfpaced course taken variety way learn different aspect database relational database sql popular course database series applicable learner seeking gain strong understanding relational database master sql longaccepted standard query language relational database system additional course focus advanced concept relational database sql formal foundation database design methodology semistructured data course based around video lecture demo many include quiz video segment check understanding indepth standalone quiz andor variety automaticallychecked interactive exercise course also includes unmoderated discussion forum pointer reading resource course described briefly taught professor jennifer widom overall curriculum draw stanford popular longstanding database course learn database database incredibly prevalent underlie technology used people every day every hour database reside behind huge number website theyre crucial component telecommunication system banking system video game software system electronic device maintains amount persistent information addition persistence database system provide number property make exceptionally useful convenient reliability efficiency scalability concurrency control data abstraction highlevel query language database ubiquitous important computer science graduate frequently cite database class one useful industry graduateschool career,available now,computer science,introductory,english,Course,xseries,jennifer-widom,"arabic, english, spanish (latin america), indonesian, portuguese (brazil)","portuguese - brazil, spanish, arabic, indonesian",676,https://www.edx.org/learn/relational-databases/stanford-university-databases-semistructured-data,2.0,relational database data abstraction query language concurrency control sql programming language database system database design telecommunication extensible markup language xml xpath extensible stylesheet language transformation xslt json xquery human readable computer science,database semistructured data database series course database one stanford three inaugural massive open online course fall 2011 offered synchronous selfpaced version variety platform continuously since 2011 material offered set five selfpaced course taken variety way learn different aspect database relational database sql popular course database series applicable learner seeking gain strong understanding relational database master sql longaccepted standard query language relational database system additional course focus advanced concept relational database sql formal foundation database design methodology semistructured data course based around video lecture demo many include quiz video segment check understanding indepth standalone quiz andor variety automaticallychecked interactive exercise course also includes unmoderated discussion forum pointer reading resource course described briefly taught professor jennifer widom overall curriculum draw stanford popular longstanding database course learn database database incredibly prevalent underlie technology used people every day every hour database reside behind huge number website theyre crucial component telecommunication system banking system video game software system electronic device maintains amount persistent information addition persistence database system provide number property make exceptionally useful convenient reliability efficiency scalability concurrency control data abstraction highlevel query language database ubiquitous important computer science graduate frequently cite database class one useful industry graduateschool career computer science relational database data abstraction query language concurrency control sql programming language database system database design telecommunication extensible markup language xml xpath extensible stylesheet language transformation xslt json xquery human readable computer science
circuit electronics 3 application,massachusetts institute of technology,learn cool application opamps filter design microchip used smartphones selfdriving car computer internet,construct analyze filter using capacitor inductor use intuition describe approximate time frequency behavior secondorder circuit containing energy storage element capacitor inductor relationship mathematical representation firstorder circuit behavior corresponding reallife effect circuit application using opamps measurement circuit variable using tool virtual oscilloscope virtual multimeters virtual signal generator compare measurement behavior predicted mathematical model explain discrepancy,want learn radio work wondering implement filter using resistor inductor capacitor wondering application rlc cmos circuit free circuit course taught edx ceo mit professor anant agarwal mit colleague third final online circuit electronics course taken mit electrical engineering computer science eec major topic covered include dynamic capacitor inductor resistor network design time frequency domain opamps analog digital circuit application design lab exercise also significant component course weekly coursework includes interactive video sequence reading textbook homework online laboratory optional tutorial course also final exam selfpaced course weekly deadline however assignment due course end,available now,"electronics, engineering, computer science",intermediate,english,Course,xseries,"piotr-mitros-0, anant-agarwal-0, gerald-sussman, bonnie-lam, chris-terman","arabic, english, spanish (latin america), indonesian, portuguese (brazil)","indonesian, spanish, hindi, turkish, swahili, portuguese - brazil, arabic, german, telugu, portuguese, french",670,https://www.edx.org/learn/electronics/massachusetts-institute-of-technology-circuits-and-electronics-3-applications-2,7.0,inductor digital electronics resistor capacitor electrical engineering computer science electronics smartphone operation application design,circuit electronics 3 application want learn radio work wondering implement filter using resistor inductor capacitor wondering application rlc cmos circuit free circuit course taught edx ceo mit professor anant agarwal mit colleague third final online circuit electronics course taken mit electrical engineering computer science eec major topic covered include dynamic capacitor inductor resistor network design time frequency domain opamps analog digital circuit application design lab exercise also significant component course weekly coursework includes interactive video sequence reading textbook homework online laboratory optional tutorial course also final exam selfpaced course weekly deadline however assignment due course end electronicsengineeringcomputer science inductor digital electronics resistor capacitor electrical engineering computer science electronics smartphone operation application design
sustainability architecture interdisciplinary introduction,universitat politècnica de valència,course introduces basic element trend define sustainability practice architecture today follows interdisciplinary approach includes performance assessment urban policy,evaluate sustainability performance building material way assess energy use account use urban infrastructure create neighborhood model adequate analysisand urban policy assessment,course offer interdisciplinary approach sustainabilityin architecture learner introduced basic element sustainability assessment first model layer well trend informing space today coursework enables student develop conceptual neighborhood model assessing performance urban policy first week participant learn todevelop conceptual model architectural element building basic building block performance material second week explores method optimizing performance coursework detail need constraint inherent selecting material neighborhood urban element second model layer green blue grey infrastructure third week learner develop basic tool introducing energy measuring potential impact climate change co2 new layer third neighborhood stainability model approached global perspective fourth finall week course explore technique joint assessment directly connected policy issue,available now,architecture,intermediate,english,Course,professional certificate,"maria-valles-planells, javier-orozco-messana, naoko-ellis, kas-hemmes, elena-de-la-poza-plaza, dai-morgan, edmond-byrne","arabic, english, spanish (latin america), indonesian, portuguese (brazil)",,670,https://www.edx.org/learn/architecture/universitat-politecnica-de-valencia-sustainability-in-architecture-an-interdisciplinary-introduction,4.0,conceptual model infrastructure sustainable business,sustainability architecture interdisciplinary introduction course offer interdisciplinary approach sustainabilityin architecture learner introduced basic element sustainability assessment first model layer well trend informing space today coursework enables student develop conceptual neighborhood model assessing performance urban policy first week participant learn todevelop conceptual model architectural element building basic building block performance material second week explores method optimizing performance coursework detail need constraint inherent selecting material neighborhood urban element second model layer green blue grey infrastructure third week learner develop basic tool introducing energy measuring potential impact climate change co2 new layer third neighborhood stainability model approached global perspective fourth finall week course explore technique joint assessment directly connected policy issue architecture conceptual model infrastructure sustainable business
humancomputer interaction fundamental design principle,the georgia institute of technology,learn principle humancomputer interaction create intuitive usable interface established design principle like feedback cycle direct manipulation affordances signifier,overall goal humancomputer interaction relationship hci user experience design human factor engineering psychology relevance hci domain like healthcare education cybersecurity trend hci technology including virtual reality augmented reality robotics emerging idea hci research contextsensitive computing gesturebased interaction social computing three main school thought hci processor predictor participant view feedback cycle user interaction including gulf execution evaluation notion directness interaction role direct manipulation strength limitation human user including sensation memory role design principle heuristic user interface design important principle design including discoverability affordances perceptibility error tolerance,course take first eight lesson cs6750 humancomputer interaction taught georgia tech online master science computer science program course youll take first step toward solid hci practitioner researcher youll learn fundamental hci relates field like user experience design user interface design human factor engineering psychology youll also learn humancomputer interaction influence across application domain like healthcare education technology development like virtual augmented reality broader idea like contextsensitive computing information visualization youll dive fundamental humancomputer interaction youll learn three view user role interface design behaviorist processor view cognitivist predictor view situationist participant view youll discover different view user role affect scope use evaluate interaction perspective crucial move forward designing interface ensure youre considering go inside user head well environment around youll learn gulf execution evaluation determine easily user accomplish goal system well understand result action user interface design seen taking step bridge gulf youll also investigate notion direct manipulation shortens distance user object manipulating interface tool youll wellequipped start designing effective interface youll take deeper dive human even capable accomplishing youll learn limitation human sensing memory must aware cognitive load introduce user using interface cognitive load enormous impact user satisfaction interface must kept mind begin career designer youll finally conclude overview major design principle humancomputer interaction curated work norman jakob nielsen ronald mace larry constantine lucy lockwood design principle cover revolutionary idea design interface discoverability affordances perceptibility constraint error tolerance principle crucial whether move forward designer evaluator frontend engineer role technology design end course youll understanding hci sits broader field grasp goal hci foundation core principle inform interface design,"upcoming, available now",computer science,introductory,english,Course,professional certificate,david-joyner,,,667,https://www.edx.org/learn/human-computer-interaction/the-georgia-institute-of-technology-human-computer-interaction-i-fundamentals-design-principles,6.0,information visualization user interface design interface design user experience design ux cognitive load theory design element principle augmented reality human factor engineering computer science psychology,humancomputer interaction fundamental design principle course take first eight lesson cs6750 humancomputer interaction taught georgia tech online master science computer science program course youll take first step toward solid hci practitioner researcher youll learn fundamental hci relates field like user experience design user interface design human factor engineering psychology youll also learn humancomputer interaction influence across application domain like healthcare education technology development like virtual augmented reality broader idea like contextsensitive computing information visualization youll dive fundamental humancomputer interaction youll learn three view user role interface design behaviorist processor view cognitivist predictor view situationist participant view youll discover different view user role affect scope use evaluate interaction perspective crucial move forward designing interface ensure youre considering go inside user head well environment around youll learn gulf execution evaluation determine easily user accomplish goal system well understand result action user interface design seen taking step bridge gulf youll also investigate notion direct manipulation shortens distance user object manipulating interface tool youll wellequipped start designing effective interface youll take deeper dive human even capable accomplishing youll learn limitation human sensing memory must aware cognitive load introduce user using interface cognitive load enormous impact user satisfaction interface must kept mind begin career designer youll finally conclude overview major design principle humancomputer interaction curated work norman jakob nielsen ronald mace larry constantine lucy lockwood design principle cover revolutionary idea design interface discoverability affordances perceptibility constraint error tolerance principle crucial whether move forward designer evaluator frontend engineer role technology design end course youll understanding hci sits broader field grasp goal hci foundation core principle inform interface design computer science information visualization user interface design interface design user experience design ux cognitive load theory design element principle augmented reality human factor engineering computer science psychology
retail fundamental,dartmouth college,learn key component retail business including forecasting inventory management product assortment planning pricing tuckx tuck school business dartmouth,generate evaluate sale forecast plan optimize inventory management think decide product assortment find best price product,course part retail management professional certificate program learn four key component retail business demand forecasting inventory management assortment planning pricing decision learn different challenge retailer face opportunity explore method technique available address challenge also access simulation tool better internalize concept course take handson problem driven approach help understand put practice concept learn end course able make better decision every step retail process designed course suit wide variety participant retail owner store manager undergrad business major specialist retail,available now,business & management,intermediate,english,Course,professional certificate,"santiago-gallino, antonio-moreno-garcia","arabic, english, spanish (latin america), indonesian, portuguese (brazil)","portuguese - brazil, arabic, spanish, indonesian",666,https://www.edx.org/learn/retail/dartmouth-college-retail-fundamentals,4.0,retail management forecasting planning inventory forecasting product assortment management,retail fundamental course part retail management professional certificate program learn four key component retail business demand forecasting inventory management assortment planning pricing decision learn different challenge retailer face opportunity explore method technique available address challenge also access simulation tool better internalize concept course take handson problem driven approach help understand put practice concept learn end course able make better decision every step retail process designed course suit wide variety participant retail owner store manager undergrad business major specialist retail business & management retail management forecasting planning inventory forecasting product assortment management
hardware quantum computer,delft university of technology,learn quantum computer could physically build could controlled,overview building block quantum computer four promising type solidstate qubits work superconducting transmon qubits silicon spin qubits diamond nv center qubits topological qubits quantum gate basic operation quantum computing performed qubit implementation,doubt quantum computer quantum internet many profound application may change way think information could completely change daily lifethe aim course help get speed current progress transition quantum information era initial review basic concept operating principle quantum computing quantum information eg ket notation quantum bit qubits course feature extensive discussion different way qubits built discus four type qubits qutech focus topological qubits spin qubits superconducting qubits nv center qubits course journey discovery encourage bring experience insight thought via forum course authored expert qutech research center delft university technology center scientist engineer work together enhance research development quantum technology qutech academy aim inspire share disseminate knowledge latest development quantum technology,"upcoming, available now","physics, computer science, engineering",intermediate,english,Course,professional certificate,"lieven-vandersypen, attila-geresdi, michael-wimmer, giordano-scappucci, koen-bertels, menno-veldhorst, leo-di-carlo, tim-taminiau","arabic, english, spanish (latin america), indonesian, portuguese (brazil)","arabic, spanish, portuguese - brazil, indonesian",665,https://www.edx.org/learn/quantum-computing/delft-university-of-technology-the-hardware-of-a-quantum-computer,6.0,quantum information quantum technology quantum computing legal discovery,hardware quantum computer doubt quantum computer quantum internet many profound application may change way think information could completely change daily lifethe aim course help get speed current progress transition quantum information era initial review basic concept operating principle quantum computing quantum information eg ket notation quantum bit qubits course feature extensive discussion different way qubits built discus four type qubits qutech focus topological qubits spin qubits superconducting qubits nv center qubits course journey discovery encourage bring experience insight thought via forum course authored expert qutech research center delft university technology center scientist engineer work together enhance research development quantum technology qutech academy aim inspire share disseminate knowledge latest development quantum technology physicscomputer scienceengineering quantum information quantum technology quantum computing legal discovery
